,c2,c4,c5,c6
219,Phonetic transliteration can be considered as an extension to the traditional graphemetophoneme G2P conversion    which has been a muchresearched topic in the field of speech processing,BackGround,GRelated,1
220,Many of the loanwords exist in todays Chinese through semantic transliteration  which has been well received   by the people because of many advantages,BackGround,GRelated,2
221,Unfortunately semantic transliteration  which is considered as a good tradition in translation practice    has not been adequately addressed computationally in the literature,BackGround,GRelated,3
222,5S Semantic Transliteration The performance was measured using the Mean Reciprocal Rank MRR metric    a measure that is commonly used in information retrieval  assuming there is precisely one correct answer,Fundamental,Basis,1
223,In computational linguistic literature  much effort has been devoted to phonetic transliteration  such as EnglishArabic  EnglishChinese    EnglishJapanese   and EnglishKorean,BackGround,GRelated,1
224,In the extraction of transliterations  datadriven methods are adopted to extract actual transliteration pairs from a corpus  in an effort to construct a large  uptodate transliteration lexicon  ,BackGround,GRelated,1
225,The Latinscripted personal names are always assumed to homogeneously follow the English phonic rules in automatic transliteration  ,BackGround,GRelated,1
226,This model is conceptually similar to the joint sourcechannel model   where the target token t i depends on not only its source token s i but also the history t i1 and s i 1,Fundamental,Idea,1
227,Some recent work   has attempted to introduce preference into a probabilistic framework for selection of Chinese characters in phonetic transliteration,BackGround,GRelated,1
228,In transliteration modeling  transliteration rules are trained from a large  bilingual transliteration lexicon    with the objective of translating unknown words on the fly in an open  general domain,BackGround,GRelated,1
229,As discussed elsewhere    out of several thousand common Chinese characters  a subset of a few hundred characters tends to be used overwhelmingly for transliterating English names to Chinese  egonly 731 Chinese characters are adopted in the EC corpus,BackGround,SRelated,1
230,As a Chinese transliteration can arouse to certain connotations  the choice of Chinese characters becomes a topic of interest  ,BackGround,GRelated,1
231,Table 4 Lexicon statistics For Arabic  as a fullsize Arabic lexicon was not available to us  we used the Buckwalter morphological analyzer   to derive a lexicon,Fundamental,Basis,1
232,For example    showed that factored language models  which consider morphological features and use an optimized backoff policy  yield lower perplexity,BackGround,GRelated,1
233,A recent work   experimented with EnglishtoTurkish translation with limited success  suggesting that inflection generation given morphological features may give positive results,BackGround,GRelated,1
234,More recently    achieved improvements in CzechEnglish MT  optimizing a Table 1 Morphological features used for Russian and Arabic set of possible source transformations  incorporating morphology,BackGround,GRelated,1
235,Ideally  the best word analysis should be provided as a result of contextual disambiguation eg    we leave this for future work,BackGround,MRelated,2
236,Another work   showed improvements by splitting compounds in German,BackGround,GRelated,2
237,Translating from a morphologypoor to a morphologyrich language is especially challenging since detailed morphological information needs to be decoded from a language that does not encode this information or does so only implicitly  ,BackGround,GRelated,1
238,Koehn   includes a survey of statistical MT systems in both directions for the Europarl corpus  and points out the challenges of this task,BackGround,GRelated,1
239,For example  it has been shown   that determiner segmentation and deletion in Arabic sentences in an ArabictoEnglish translation system improves sentence alignment  thus leading to improved overall translation quality,BackGround,GRelated,2
240,For Arabic  we apply the following heuristic use the most frequent analysis estimated from the gold standard labels in the Arabic Treebank   if a word does not appear in the treebank  we choose the first analysis returned by the Buckwalter analyzer,Fundamental,Basis,1
241,Our learning framework uses a Maximum Entropy Markov model  ,Fundamental,Basis,1
242,  demonstrated that a similar level of alignment quality can be achieved with smaller corpora applying morphosyntactic source restructuring  using hierarchical lexicon models  in translating from German into English,BackGround,GRelated,1
243,The sentence pairs were wordaligned using GIZA   and submitted to a treeletbased MT system    which uses the word dependency structure of the source language and projects word dependency structure to the target language  creating the structure shown in Figure 1 above,Fundamental,Basis,1
244,  experimented successfully with translating from inflectional languages into English making use of POS tags  word stems and suffixes in the source language,BackGround,GRelated,2
245,The framework suggested here is most closely related to    which uses a probabilistic model to generate Japanese case markers for EnglishtoJapanese MT,BackGround,SRelated,1
246,The algorithm is similar to the one described in  ,Fundamental,Idea,1
247,It also differs from now traditional uses of comparable corpora for detecting translation equivalents   or extracting terminology    which allows a onetoone correspondence irrespective of the context,Compare,Compare,1
248,In the spirit of    it is intended as a translators amenuensis under the tight control of a human translator ,Fundamental,Idea,1
249,It has been aligned on the sentence level by JAPA    and further on the word level by GIZA  ,Fundamental,Basis,1
250,Thus the present system is unlike SMT    where lexical selection is effected by a translation model based on aligned  parallel corpora  but the novel techniques it has developed are exploitable in the SMT paradigm,Compare,Compare,1
251,Similarity is measured as the cosine between collocation vectors  whose dimensionality is reduced by SVD using the implementation by Rapp  ,Fundamental,Basis,1
252,We have generalised the method used in our previous study   for extracting equivalents for continuous multiword expressions MWEs,Fundamental,Basis,1
253,Recent efforts in statistical machine translation MT have seen promising improvements in output quality  especially the phrasebased models   and syntaxbased models  ,BackGround,GRelated,1
254,By adapting the kbest parsing Algorithm 2 of Huang and Chiang    it achieves significant speedup over fullintegration on Chiangs Hiero system,BackGround,GRelated,2
255, We also devise a faster variant of cube pruning  called cube growing  which uses a lazy version of kbest parsing   that tries to reduce k to the minimum needed at each node to obtain the desired number of hypotheses at the root,Fundamental,Basis,1
256,In a nutshell  cube pruning works on the LM forest  keeping at most k LM items at each node  and uses the kbest parsing Algorithm 2 of Huang and Chiang   to speed up the computation,BackGround,SRelated,1
257,This situation is very similar to kbest parsing and we can adapt the Algorithm 2 of Huang and Chiang   here to explore this grid in a bestfirst order,Fundamental,Basis,1
258,This new method  called cube growing  is a lazy version of cube pruning just as Algorithm 3 of Huang and Chiang    is a lazy version of Algorithm 2 see Table 1,Fundamental,Idea,1
259,The different target sides then constitute a third dimension of the grid  forming a cube of possible combinations  ,BackGround,SRelated,1
260,The data set is same as in Section 51  except that we also parsed the Englishside using a variant of the Collins   parser  and then extracted 247M treetostring rules using the algorithm of  ,Fundamental,Basis,1
261,These forest rescoring algorithms have potential applications to other computationally intensive tasks involving combinations of different models  for example  headlexicalized parsing   joint parsing and semantic role labeling   or tagging and parsing with nonlocal features,BackGround,MRelated,1
262,In treetostring also called syntaxdirected decoding    the source string is first parsed into a tree  which is then recursively converted into a target string according to transfer rules in a synchronous grammar  ,BackGround,GRelated,1
263,We generalize cube pruning and adapt it to two systems very different from Hiero a phrasebased system similar to Pharaoh   and a treetostring system  ,Fundamental,Basis,1
264,We test our methods on two largescale EnglishtoChinese translation systems a phrasebased system and our treetostring system  ,Fundamental,Basis,1
265,Our data preparation follows Huang et al   the training data is a parallel corpus of283M words on the English side  and a trigram language model is trained on the Chinese side,Fundamental,Idea,1
266,For cube growing  we use a nonduplicate kbest method   to get 100best unique translations according to  LM to estimate the lowerbound heuristics,Fundamental,Basis,1
267,Since our treetostring rules may have many variables  we first binarize each hyperedge in the forest on the target projection  ,Fundamental,Basis,1
268,Thus we envision forest rescoring as being of general applicability for reducing complicated search spaces  as an alternative to simulated annealing methods  ,BackGround,MRelated,1
269,Part of the complexity arises from the expressive power of the translation model for example  a phrase or wordbased model with full reordering has exponential complexity  ,BackGround,GRelated,1
270,We will use the following example from Chinese to English for both systems described in this section yU  Shalong juxing le huitan with Sharon hold   past meeting held a meeting with Sharon A typical phrasebased decoder generates partial targetlanguage outputs in lefttoright order in the form of hypotheses  ,BackGround,GRelated,1
271,We implemented Cubit  a Python clone of the Pharaoh decoder    3 and adapted cube pruning to it as follows,Fundamental,Basis,1
272,We set the decoder phrasetable limit to 100 as suggested in   and the distortion limit to 4,Fundamental,Idea,1
273,An SCFG   is a contextfree rewriting system for generating string pairs,BackGround,SRelated,1
274,To integrate with a bigram language model  we can use the dynamicprogramming algorithms of Och and Ney   and Wu   for phrasebased and SCFGbased systems  respectively  which we may think of as doing a inergrained version of the deductions above,BackGround,SRelated,1
275,The language model also  if fully integrated into the decoder  introduces an expensive overhead for maintaining targetlanguage boundary words for dynamic programming  ,BackGround,GRelated,1
276,Similarly  the decoding problem with SCFGs can also be cast as a deductive parsing system  ,BackGround,SRelated,1
277,However  the hope is that by choosing the right value ofi  these estimates will be accurate enough to affect the search quality only slightly  which is analogous to almost admissible heuristics in A search  ,BackGround,SRelated,1
278,A few exceptions are the hierarchical possibly syntaxbased transduction models   and the string transduction models  ,BackGround,GRelated,1
279,The SFST approach described here is similar to the one described in   which has subsequently been adopted by  ,Fundamental,Idea,1
280,In preliminary experiments  we have associated the target lexical items with supertag information  ,Fundamental,Basis,1
281,We separate the most popular classification techniques into two broad categories also called Maxent as it finds the distribution with maximum entropy that properly estimates the average of each feature over the training data  ,,,
282,Most of the previous work on statistical machine translation  as exemplified in    employs wordalignment algorithm such as GIZA   that provides local associations between source and target words,BackGround,GRelated,1
283,The BOW approach is different from the parsing based approaches   where the translation model tightly couples the syntactic and lexical items of the two languages,Compare,Compare,1
284,The excellent results recently obtained with the SEARN algorithm   also suggest that binary classifiers  when properly trained and combined  seem to be capable ofmatching more complex structured output approaches,BackGround,GRelated,2
285,A new L1regularized Maxent algorithms was proposed for density estimation   and we adapted it to classification,Fundamental,Basis,1
286,From the bilanguage corpus B  we train an ngram language model using standard tools  ,Fundamental,Basis,1
287,The use of supertags in phrasebased SMT system has been shown to improve results  ,BackGround,GRelated,2
288,here all state hypotheses of a whole sentence are kept in memory  it is necessary to either use heuristic forward pruning or constrain permutations to be within a local window of adjustable size also see  ,BackGround,SRelated,1
289,Although Conditional Random Fields CRF   train an exponential model at the sequence level  in translation tasks such as ours the computational requirements of training such models are prohibitively expensive,BackGround,SRelated,1
290,We found this algorithm to converge faster than the current stateoftheart in Maxent training  which is L2regularized LBFGS   1,Compare,Compare,2
291,Discriminative training has been used mainly for translation model combination   and with the exception of    has not been used to directly train parameters of a translation model,BackGround,GRelated,1
292,For the work reported in this paper  we have used the GIZA tool   which implements a stringalignment algorithm,Fundamental,Basis,1
293,Each output label t is projected into a bit string with components b j t where probability of each component is estimated independently In practice  despite the approximation  the 1vsother scheme has been shown to perform as well as the multiclass scheme  ,BackGround,SRelated,1
294,For the Hansard corpus we used the same training and test split as in   14 million training sentence pairs and 5432 test sentences,Fundamental,Idea,1
295,In search of a balance between structural flexibility and computational complexity  several authors have proposed constraints to identify classes of nonprojective dependency structures that are computationally wellbehaved  ,BackGround,GRelated,2
296,This result generalizes previous work on the relation between ltag and dependency representations  ,BackGround,SRelated,1
297, The encoding of dependency structures as orderannotated trees allows us to reformulate two constraints on nonprojectivity originally defined on fully specified dependency structures   in terms of syntactic properties of the order annotations that they induce Gapdegree The gapdegree of a dependency structure is the maximum over the number of discontinuities in any yield of that structure,Fundamental,Basis,1
298,This enables us to generalize a previous result on the class of dependency structures generated by lexicalized tags   to the class of generated dependency languages  LTAL,Fundamental,Basis,1
299,Lately  they have also been used in many computational tasks  such as relation extraction    parsing    and machine translation  ,BackGround,GRelated,1
300,Unfortunately  most formal results on nonprojectivity are discouraging While grammardriven dependency parsers that are restricted to projective structures can be as efficient as parsers for lexicalized contextfree grammar    parsing is prohibitively expensive when unrestricted forms of nonprojectivity are permitted  ,BackGround,GRelated,3
301,We also show that adding the wellnestedness condition corresponds to the restriction of lcfrs to Coupled ContextFree Grammars    and that regular sets of wellnested structures with a gapdegree of at most 1 are exactly the class of sets of derivations of Lexicalized Tree Adjoining Grammar ltag,Fundamental,Basis,1
302,This restriction is central to the formalism of CoupledContextFree Grammar ccfg  ,BackGround,SRelated,1
303,REGD wk  LCCFLk  1 As a special case  CoupledContextFree Grammars with fanout 2 are equivalent to Tree Adjoining Grammars tags  ,BackGround,SRelated,1
304,This gives rise to a notion of regular dependency languages  and allows us to establish a formal relation between the structural constraints and mildly contextsensitive grammar formalisms   We show that regular dependency languages correspond to the sets of derivations of lexicalized Linear ContextFree Rewriting Systems lcfrs    and that the gapdegree measure is the structural correspondent of the concept of fanout in this formalism  ,Fundamental,Basis,1
305,Such a comparison may be empirically more adequate than one based on traditional notions of generative capacity  ,BackGround,MRelated,2
306,Both constraints have been shown to be in very good fit with data from dependency treebanks  ,BackGround,GRelated,2
307,A dependency structure is projective  if each of its yields forms an interval with respect to the precedence order  ,BackGround,SRelated,1
308,Datadriven dependency parsing with nonprojective structures is quadratic when all attachment decisions are assumed to be independent of one another    but becomes intractable when this assumption is abandoned  ,BackGround,GRelated,1
309,The number of components in the orderannotation  and hence  the gapdegree of the resulting dependency language  corresponds to the fanout of the function the highest number of components among the arguments of the function  ,BackGround,SRelated,1
310,Linear ContextFree Rewriting Systems Gaprestricted dependency languages are closely related to Linear ContextFree Rewriting Systems lcfrs    a class of formal systems that generalizes several mildly contextsensitive grammar formalisms,BackGround,SRelated,1
311,The UnfoldFold transformation is a calculus for transforming functional and logic programs into equivalent but hopefully faster programs  ,BackGround,SRelated,1
312,Standard methods for converting weighted CFGs to equivalent PCFGs can be used if required  ,BackGround,SRelated,1
313,Second  EisnerSatta On 3 PBDG parsing algorithms are extremely fast  ,BackGround,GRelated,2
314,It is straightforward to extend the splithead CFG to encode the additional state information required by the head automata of Eisner and Satta   this corresponds to splitting the nonterminals L u and uR,BackGround,SRelated,2
315,The On 3 splithead grammar is closely related to the On 3 PBDG parsing algorithm given by Eisner and Satta  ,BackGround,SRelated,1
316,Goodman   observed that the Viterbi parse is in general not the optimal parse for evaluation metrics such as fscore that are based on the number of correct constituents in a parse,BackGround,SRelated,1
317,For example  incremental CFG parsing algorithms can be used with the CFGs produced by this transform  as can the InsideOutside estimation algorithm   and more exotic methods such as estimating adjoined hidden states  ,BackGround,GRelated,1
318,The closest related work we are aware of is McAllester    which also describes a reduction of PBDGs to efficientlyparsable CFGs and directly inspired this work,BackGround,SRelated,2
319,This paper investigates the relationship between ContextFree Grammar CFG parsing and the EisnerSatta PBDG parsing algorithms  including their extension to secondorder PBDG parsing  ,Fundamental,Basis,1
320,First  because they capture bilexical headtohead dependencies they are capable of producing extremely highquality parses stateoftheart discriminatively trained PBDG parsers rival the accuracy of the very best statistical parsers available today  ,BackGround,GRelated,2
321,The steps involved in CKY parsing with this grammar correspond closely to those of the McDonald   secondorder PBDG parsing algorithm,Fundamental,Basis,1
322,These weights are estimated by an online procedure as in McDonald    and are not intended to define a probability distribution,Fundamental,Idea,1
323,We provided one grammar which captures horizontal secondorder dependencies    and another which captures vertical secondorder headtoheadtohead dependencies,Fundamental,Basis,1
324,Since CFGs can be expressed as Hornclause logic programs   and the UnfoldFold transformation is provably correct for such programs    it follows that its application to CFGs is provably correct as well,BackGround,GRelated,1
325,Specifically  we show how to use an offline preprocessing step  the UnfoldFold transformation  to transform a PBDG into an equivalent CFG that can be parsed in On 3 time using a version of the CKY algorithm with suitable indexing    and extend this transformation so that it captures secondorder PBDG dependencies as well,Fundamental,Basis,1
326,By a slight generalization of a result by Aoto    this typing r h N  a must be negatively nonduplicated in the sense that each atomic type has at most one negative occurrence in it,Fundamental,Basis,1
327,By Aoto and Onos   generalization of the Coherence Theorem    it follows that every term P such that r h P  a for some r c r must be Srequal to N and consequently to N,BackGround,SRelated,1
328,The reduction to Datalog makes it possible to apply to parsing and generation sophisticated evaluation techniques for Datalog queries in particular  an application of generalized supplementary magicsets rewriting   automatically yields Earleystyle algorithms for both parsing and generation,BackGround,SRelated,1
329,In the case of an IO macro grammar  the result is an IO contextfree tree grammar   String copying becomes tree copying  and the resulting grammar can be represented by an almost linear CFLG and hence by a Datalog program,BackGround,SRelated,1
330,With regard to parsing and recognition of input strings  polynomialtime algorithms and the LOGCFL upper bound on the computational complexity are already known for the grammar formalisms covered by our results   nevertheless  we believe that our reduction to Datalog offers valuable insights,BackGround,SRelated,1
331,In this paper  we show that a similar reduction to Datalog is possible for more powerful grammar formalisms with contextfree derivations  such as multicomponent treeadjoining grammars    IO macro grammars    and parallel multiple contextfree grammars  ,BackGround,GRelated,2
332,By the main result of Gottlob et al    the related search problem of finding one derivation tree for the input term is in functional LOGCFL  ie  the class of functions that can be computed by a logspacebounded Turing machine with a LOGCFL oracle,BackGround,SRelated,1
333,Our method essentially relies on the encoding of different formalisms in terms of abstract categorial grammars  ,Fundamental,Basis,1
334,What we have called a contextfree  term grammar is nothing but an alternative notation for an abstract categorial grammar   whose abstract vocabulary is secondorder  with the restriction to linear terms removed,BackGround,SRelated,1
335,A stringgenerating grammar coupled with Montague semantics may be represented by a synchronous CFLG  a pair of CFLGs with matching rule sets  ,BackGround,SRelated,1
336,linear ACGs are known to be expressive enough to encode wellknown mildly contextsensitive grammar formalisms in a straightforward way  including TAGs and multiple contextfree grammars  ,BackGround,GRelated,2
337,For example  the linear CFLG in Figure 8 is an encoding of the TAG in Figure 3  where aS  oo and aA  o  o  o   o  ,BackGround,SRelated,1
338,We can eliminate erules from an almost linear CFLG by the same method that Kanazawa and Yoshinaka   used for linear grammars  noting that for any r and a  there are only finitely many almost linear terms M such that r h M  aIf a grammar has no erule  any derivation tree for the input term N that has a term P at its root node corresponds to a Datalog derivation tree whose number of leaves is equal to the number of occurrences of constants in P  which cannot exceed the number of occurrences of constants in N,Fundamental,Idea,1
339,For such P and D  it is known that D  q  D eD  P U D derives q  is in the complexity class LOGCFL  ,BackGround,SRelated,1
340,3 In the linear case  Salvati   has shown the recognitionparsing complexity to be PTIME  and exhibited an algorithm similar to Earley parsing for TAGs,BackGround,GRelated,1
341,The result of the generalized supplementary magicsets rewriting of Beeri and Ramakrishnan   applied to the Datalog program representing a CFG essentially coincides with the deduction system   or uninstantiated parsing system   for Earley parsing,BackGround,GRelated,1
342,By naive or seminaive bottomup evaluation    the answer to such a query can be computed in polynomial time in the size of the database for any Datalog program,BackGround,GRelated,1
343,We illustrate this approach with the program in Figure 4  following the presentation of Ullman  ,Fundamental,Idea,1
344,But there are also other factors involved  for example  the tendency to put given discourse elements before new ones  which has been shown to play a role independent of length  ,BackGround,GRelated,1
345,First  how close is dependency length in English to that of this optimal DLA Secondly  how similar is the optimal DLA to English in terms of the actual rules that arise Finding linear arrangements of graphs that minimize total edge length is a classic problem  NPcomplete for general graphs but with an On 16 algorithm for trees  ,BackGround,SRelated,1
346,Statistical parsers make use of features that capture dependency length egan adjacency feature in Collins    more explicit length features in McDonald et al   and Eisner and Smith   and thus learn to favor parses with shorter dependencies,BackGround,GRelated,1
347,We take sentences from the Wall Street Journal section of the Penn Treebank  extract the dependency trees using the headword rules of Collins    consider them to be unordered dependency trees  and linearize them to minimize dependency length,Fundamental,Basis,1
348,Exactly this pattern has been observed by Dryer   in natural languages,BackGround,SRelated,1
349,Frazier   suggests that this might serve the function of keeping heads and dependents close together,BackGround,SRelated,1
350,This has been offered as an explanation for numerous psycholinguistic phenomena  such as the greater processing difficulty of object relative clauses versus subject relative clauses  ,BackGround,GRelated,1
351,Hawkins   has shown that this principle is reflected in grammatical rules across many languages,BackGround,GRelated,1
352,One might suppose that such syntactic choices in English are guided at least partly by dependency length minimization  and indeed there is evidence for this for example  people tend to put the shorter of two PPs closer to the verb  ,BackGround,GRelated,1
353,The problem of finding the optimum weighted DLA for a set of input trees can be shown to be NPcomplete by reducing from the problem of finding a graphs minimum Feedback Arc Set  one of the 21 classic problems of Karp  ,BackGround,GRelated,1
354,This setting is reminiscent of the problem of optimizing feature weights for reranking of candidate machine translation outputs  and we employ an optimization technique similar to that used by Och   for machine translation,Fundamental,Idea,1
355,In particular  our approach would be applicable to corpora with framespecific role labels  egFrameNet  ,BackGround,MRelated,1
356,Our work suggests that feature generalization based on verbsimilarity may compliment approaches to generalization based on rolesimilarity  ,BackGround,MRelated,1
357,For this task we utilized the August 2005 release of the Charniak parser with the default speedaccuracy settings    which required roughly 360 hours of processor time on a 25 GHz PowerPC G5,Fundamental,Basis,1
358,To automatically identify all verb inflections  we utilized the English DELA electronic dictionary    which contained all but 21 of the PropBank verbs for which we provided the inflections ourselves  with oldEnglish verb inflections removed,Fundamental,Basis,1
359,Parse tree paths were used for semantic role labeling by Gildea and Jurafsky   as descriptive features of the syntactic relationship between predicates and their arguments in the parse tree of a sentence,BackGround,GRelated,1
360,In future work  it would be particularly interesting to compare empiricallyderived verb clusters to verb classes derived from theoretical considerations    and to the automated verb classification techniques that use these classes  ,BackGround,MRelated,1
361,Our approach is analogous to previous work in extracting collocations from large text corpora using syntactic information  ,Fundamental,Idea,1
362,This observation further supports the distributional hypothesis of word similarity and corresponding technologies for identifying synonyms by similarity of lexicalsyntactic context  ,BackGround,SRelated,1
363,In our work  we utilized the GigaWord corpus of English newswire text    consisting of nearly 12 gigabytes of textual data,Fundamental,Basis,1
364,Annotations similar to these have been used to create automated semantic role labeling systems   for use in natural language processing applications that require only shallow semantic parsing,BackGround,GRelated,1
365,The overall performance of our semantic role labeling approach is not competitive with leading contemporary systems  which typically employ support vector machine learning algorithms with syntactic features   or syntactic tree kernels  ,Compare,Compare,2
366,A recent release of the PropBank   corpus of semantic role annotations of Treebank parses contained 112 917 labeled instances of 4 250 rolesets corresponding to 3 257 verbs  as illustrated by this example for the verb buy,BackGround,GRelated,1
367,An important area for future research will be to explore the correlation between our distance metric for syntactic similarity and various quantitative measures of semantic similarity  ,BackGround,MRelated,2
368,To prepare this corpus for analysis  we extracted the body text from each of the 41 million entries in the corpus and applied a maximumentropy algorithm to identify sentence boundaries  ,Fundamental,Basis,1
369,Featurebased Methods for SRL most features used in prior SRL research are generally extended from Gildea and Jurafsky    who used a linear interpolation method and extracted basic flat features from a parse tree to identify and classify the constituents in the FrameNet  ,BackGround,GRelated,1
370,SVM   is selected as our classifier and the one vs,Fundamental,Basis,1
371,In the context of it  more and more kernels for restricted syntaxes or specific domains   are proposed and explored in the NLP domain,BackGround,GRelated,1
372,In this paper  we apply Alternating Structure Optimization ASO   to the semantic role labeling task on NomBank,Fundamental,Basis,1
373,ASO has been shown to be effective on the following natural language processing tasks text categorization  named entity recognition  partofspeech tagging  and word sense disambiguation  ,BackGround,GRelated,2
374,For a more complete description  see  ,BackGround,SRelated,1
375,In this work  we use a modification of Hubers robust loss function  similar to that used in   Lp  y 4py if py  1 1  py 2 if  1 py 1 2 0 if py  1 We fix the regularization parameter A to 10 4  similar to that used in  ,Fundamental,Idea,1
376,This relationship is modeled by  6 Tvi 3 The parameters w l  vi  6 may then be found by joint empirical risk minimization over all the m problems  ie  their values should minimize the combined empirical risk li  V   il J 4 An important observation in   is that the binary classification problems used to derive 6 are not necessarily those problems we are aiming to solve,BackGround,SRelated,2
377,Assuming there are k target problems and m auxiliary problems  it is shown in   that by performing one round of minimization  an approximate solution of 6 can be obtained from 4 by the following algorithm 1 For each of the m auxiliary problems  learn u l as described by 1,BackGround,SRelated,1
378,This is a simplified version of the definition in    made possible because the same A is used for all auxiliary problems,BackGround,SRelated,1
379,ASO has been demonstrated to be an effective semisupervised learning algorithm  ,BackGround,GRelated,2
380,A variety of auxiliary problems are tested in   in the semisupervised settings  ie  their auxiliary problems are generated from unlabeled data,BackGround,GRelated,1
381,More recently  for the word sense disambiguation WSD task    experimented with both supervised and semisupervised auxiliary problems  although the auxiliary problems she used are different from ours,BackGround,GRelated,1
382,In recent years  the availability of large humanlabeled corpora such as PropBank   and FrameNet   has made possible a statistical approach of identifying and classifying the arguments of verbs in natural language texts,BackGround,GRelated,1
383,This is known as multitask learning in the machine learning literature  ,BackGround,GRelated,1
384,A large number of SRL systems have been evaluated and compared on the standard data set in the CoNLL shared tasks    and many systems have performed reasonably well,BackGround,GRelated,1
385, In addition to the target outputs    discusses configurations where both used inputs and unused inputs due to excessive noise are utilized as additional outputs,BackGround,GRelated,1
386,First  we train the various classifiers on sections 2 to 21 using gold argument labels and automatic parse trees produced by Charniaks reranking parser    and test them on section 23 with automatic parse trees,Fundamental,Basis,1
387,Noun predicates also appear in FrameNet semantic role labeling    and many FrameNet SRL systems are evaluated in Senseval3  ,BackGround,GRelated,1
388,So far we are aware of only one English NomBankbased SRL system    which uses the maximum entropy classifier  although similar efforts are reported on the Chinese NomBank by   and on FrameNet by   using a small set of handselected nominalizations,BackGround,GRelated,1
389,Second  we achieve accuracy higher than that reported in   and advance the state of the art in SRL research,Compare,Compare,3
390,Eighteen baseline features and six additional features are proposed in   for NomBank argument identification,Fundamental,Basis,1
391,Unlike in    we do not prune arguments dominated by other arguments or those that overlap with the predicate in the training data,Compare,Compare,1
392,The JN column presents the result reported in   using both baseline and additional features,BackGround,SRelated,1
393,A diverse set of 28 features is used in   for argument classification,Fundamental,Basis,1
394,To find a smaller set of effective features  we start with all the features considered in    in    and various combinations of them  for a total of 52 features,Fundamental,Basis,1
395,The JN column presents the result reported in  ,BackGround,SRelated,1
396,This is the same configuration as reported in  ,Fundamental,Idea,1
397,Table 3 Fl scores of various classifiers on NomBank SRL Our maximum entropy classifier consistently outperforms    which also uses a maximum entropy classifier,Compare,Compare,3
398,Our results outperform those reported in  ,Compare,Compare,3
399,With the recent release of NomBank    it becomes possible to apply machine learning techniques to the task,BackGround,GRelated,1
400,Accordingly  we do not maximize the probability of the entire labeled parse tree as in  ,Fundamental,Idea,1
401,Some approaches have used WordNet for the generalization step    others EMbased clustering  ,BackGround,GRelated,1
402,The argument positions for which we compute selectional preferences will be semantic roles in the FrameNet   paradigm  and the predicates we consider will be semantic classes of words rather than individual words which means that different preferences will be learned for different senses of a predicate word,Fundamental,Basis,1
403,We use FrameNet    a semantic lexicon for English that groups words in semantic classes called frames and lists semantic roles for each frame,Fundamental,Basis,1
404,Brockmann and Lapata   perform a comparison of WordNetbased models,BackGround,GRelated,1
405,The sim function can equally well be incstantiated with a WordNetbased metric for an overview see Budanitsky and Hirst    but we restrict our experiments to corpusbased metrics a in the interest of greatest possible sim cosinew  w             p          sim Dicew w     ip  Miiip  a V      7 E r p  fw r p  2YE r p  f w r p   2   Dic  V      7    Rw       Rw   sim  Lj nw w    p  n  tt   i v  sim i accarHw w    p   i    a slm nindiew w        r  p sim Hindiew  w r p where sim Hindlew  w  r p        absmax1 w r p  1 w r p   if Iw r p   0 and I w rp   0 Table 1 Similarity measures used resourceindependence and b in order to be able to shape the similarity metric by the choice of generalization corpus,BackGround,SRelated,1
406,In SRL  the two most pressing issues today are 1 the development of strong semantic features to complement the current mostly syntacticallybased systems  and 2 the problem of the domain dependence  ,BackGround,GRelated,1
407,The preference that r p has for a given synset co  the selectional association between the two  is then defined as the contribution of c 0 to r ps selectional preference strength Arp C 0  P C 0r plog  gf S rp Further WordNetbased approaches to selectional preference induction include Clark and Weir    and Abe and Li  ,BackGround,GRelated,1
408,To determine headwords of the semantic roles  the corpus was parsed using the Collins   parser,Fundamental,Basis,1
409,5x2cv  ,,,
410,They have been used for example for syntactic disambiguation    word sense disambiguation WSD   and semantic role labeling SRL  ,BackGround,GRelated,1
411,While EMbased models have been shown to work better in SRL tasks    this has been attributed to the difference in coverage,BackGround,GRelated,1
412,We will be using the similarity metrics shown in Table 1 Cosine  the Dice and Jaccard coefficients  and Hindles   and Lins   mutual informationbased metrics,Fundamental,Basis,1
413,Selectional restrictions and selectional preferences that predicates impose on their arguments have long been used in semantic theories  see eg  ,BackGround,GRelated,1
414,It was parsed using Minipar    which is considerably faster than the Collins parser but failed to parse about a third of all sentences,Fundamental,Basis,2
415,In this paper we propose a new  simple model for selectional preference induction that uses corpusbased semantic similarity metrics  such as Cosine or Lins   mutual informationbased metric  for the generalization step,Fundamental,Basis,1
416,The corpusbased induction of selectional preferences was first proposed by Resnik  ,BackGround,GRelated,1
417,The induction of selectional preferences from corpus data was pioneered by Resnik  ,BackGround,GRelated,2
418,Rooth et al   generalize over seen headwords using EMbased clustering rather than WordNet,BackGround,GRelated,1
419,Experimental design Like Rooth et al   we evaluate selectional preference induction approaches in a pseudodisambiguation task,Fundamental,Idea,1
420,The intuition that hard to learn examples are suspect corpus errors is not new  and appears also in Abney et al    who consider the heaviest samples in the final distribution of the AdaBoost algorithm to be the hardest to classify and thus likely corpus errors,BackGround,SRelated,1
421,The HEB  Err version of the corpus is obtained by projecting the chunk boundaries on the sequence of PoS and morphology tags obtained by the automatic PoS tagger of Adler  Elhadad  ,Fundamental,Basis,1
422,We tested this hypothesis by training the ErrorDriven Pruning EDP method of   with an extended set of features,Fundamental,Basis,1
423,In    we established that the task is not trivially transferable to Hebrew  but reported that SVM based chunking   performs well,BackGround,SRelated,2
